time,height,speed,acceleration
3.59,960.74242,261.72537,-42.91548
3.6,960.74242,261.33165,-39.60167
3.61,960.74242,260.90512,-42.91548
3.62,970.48699,260.5114,-39.60167
3.63,970.48699,260.08487,-41.24217
3.64,970.48699,259.69115,-39.60167
3.65,970.48699,259.26462,-42.91548
3.66,970.48699,258.8709,-37.96117
3.67,980.52685,258.44437,-44.55598
3.68,980.52685,258.01784,-44.55598
3.69,980.52685,257.62412,-41.24217
3.7,980.52685,257.19759,-41.24217
3.71,980.52685,256.80387,-34.64736
3.72,989.68084,256.41015,-39.60167
3.73,989.68084,255.98362,-41.24217
3.74,989.68084,255.5899,-42.91548
3.75,989.68084,255.16337,-42.91548
3.76,989.68084,254.73684,-41.24217
3.77,1000.57376,254.31031,-44.55598
3.78,1000.57376,253.85097,-46.19648
3.79,1000.57376,253.42444,-46.19648
3.8,1000.57376,252.9651,-44.55598
3.81,1000.57376,252.53857,-44.55598
3.82,1018.91455,252.11204,-39.60167
3.83,1018.91455,251.68551,-41.24217
3.84,1018.91455,251.29179,-36.28786
3.85,1018.91455,250.86526,-42.91548
3.86,1018.91455,250.43873,-44.55598
3.86,1018.91455,250.43873,-44.55598
3.86,1018.91455,250.43873,-44.55598
3.86,1018.91455,250.43873,-44.55598
3.86,1018.91455,250.43873,-44.55598
3.86,1018.91455,250.43873,-44.55598
3.86,1018.91455,250.43873,-44.55598
3.87,1031.84169,250.0122,-41.24217
3.88,1031.84169,249.58567,-49.51029
3.89,1031.84169,249.12633,-39.60167
3.9,1031.84169,248.6998,-46.19648
3.91,1031.84169,248.27327,-41.24217
3.92,1044.73602,247.84674,-39.60167
3.93,1044.73602,247.45302,-44.55598
3.94,1044.73602,247.02649,-39.60167
3.95,1044.73602,246.63277,-41.24217
3.96,1044.73602,246.20624,-39.60167
3.97,1055.92423,245.81252,-41.24217
3.98,1055.92423,245.38599,-39.60167
3.99,1055.92423,244.99227,-44.55598
4,1055.92423,244.59855,-34.64736
4.01,1055.92423,244.17202,-42.91548
4.02,1068.85137,243.7783,-42.91548
4.03,1068.85137,243.35177,-39.60167
4.04,1068.85137,242.95805,-41.24217
4.05,1068.85137,242.56433,-37.96117
4.06,1068.85137,242.1378,-42.91548
4.07,1080.07239,241.74408,-36.28786
4.08,1080.07239,241.31755,-46.19648
4.09,1080.07239,240.89102,-46.19648
4.1,1080.07239,240.46449,-41.24217
4.11,1080.07239,240.07077,-36.28786
4.12,1092.11366,239.64424,-37.96117
4.13,1092.11366,239.25052,-46.19648
4.14,1092.11366,238.8568,-42.91548
4.15,1092.11366,238.43027,-36.28786
4.16,1092.11366,238.03655,-37.96117
4.17,1103.33468,237.64283,-41.24217
4.18,1103.33468,237.24911,-36.28786
4.18,1103.33468,237.24911,-36.28786
4.19,1103.33468,236.85539,-41.24217
4.2,1103.33468,236.46167,-37.96117
4.21,1103.33468,236.03514,-47.83698
4.22,1118.85381,235.64142,-39.60167
4.23,1118.85381,235.2477,-39.60167
4.24,1118.85381,234.82117,-36.28786
4.25,1118.85381,234.42745,-42.91548
4.26,1118.85381,234.03373,-37.96117
4.27,1127.48284,233.64001,-39.60167
4.28,1127.48284,233.24629,-39.60167
4.29,1127.48284,232.85257,-41.24217
4.3,1127.48284,232.42604,-37.96117
4.31,1127.48284,232.03232,-46.19648
4.32,1133.2574,231.6386,-39.60167
4.33,1133.2574,231.21207,-39.60167
4.34,1133.2574,230.81835,-37.96117
4.35,1133.2574,230.45744,-37.96117
4.36,1133.2574,230.06372,-37.96117
4.37,1145.33148,229.67,-39.60167
4.38,1145.33148,229.27628,-36.28786
4.39,1145.33148,228.88256,-41.24217
4.4,1145.33148,228.48884,-39.60167
4.41,1145.33148,228.09512,-41.24217
4.42,1157.43837,227.7014,-39.60167
4.43,1157.43837,227.30768,-41.24217
4.44,1157.43837,226.88115,-39.60167
4.45,1157.43837,226.48743,-37.96117
4.46,1157.43837,226.09371,-44.55598
4.47,1170.95609,225.69999,-36.28786
4.48,1170.95609,225.27346,-41.24217
4.49,1170.95609,224.87974,-39.60167
4.5,1170.95609,224.48602,-41.24217
4.5,1170.95609,224.48602,-41.24217
4.51,1170.95609,224.05949,-42.91548
4.52,1179.88041,223.66577,-41.24217
4.53,1179.88041,223.23924,-39.60167
4.54,1179.88041,222.81271,-44.55598
4.55,1179.88041,222.41899,-36.28786
4.56,1179.88041,221.99246,-41.24217
4.57,1194.87458,221.56593,-46.19648
4.58,1194.87458,221.1394,-44.55598
4.59,1194.87458,220.74568,-42.91548
4.6,1194.87458,220.31915,-36.28786
4.61,1194.87458,219.92543,-37.96117
4.62,1200.64914,219.53171,-37.96117
4.63,1200.64914,219.10518,-42.91548
4.64,1200.64914,218.71146,-47.83698
4.65,1200.64914,218.28493,-39.60167
4.66,1200.64914,217.89121,-34.64736
4.67,1213.34661,217.49749,-42.91548
4.68,1213.34661,217.07096,-41.24217
4.69,1213.34661,216.67724,-37.96117
4.7,1213.34661,216.28352,-41.24217
4.71,1213.34661,215.8898,-39.60167
4.72,1223.41928,215.49608,-37.96117
4.73,1223.41928,215.10236,-36.28786
4.74,1223.41928,214.70864,-39.60167
4.75,1223.41928,214.31492,-42.91548
4.76,1223.41928,213.9212,-41.24217
4.77,1231.78583,213.56029,-36.28786
4.78,1231.78583,213.16657,-34.64736
4.79,1231.78583,212.80566,-39.60167
4.8,1231.78583,212.41194,-34.64736
4.81,1231.78583,212.05103,-39.60167
4.82,1245.07388,211.65731,-36.28786
4.82,1245.07388,211.65731,-36.28786
4.83,1245.07388,211.2964,-37.96117
4.84,1245.07388,210.90268,-39.60167
4.85,1245.07388,210.50896,-44.55598
4.85,1245.07388,210.50896,-44.55598
4.85,1245.07388,210.50896,-44.55598
4.85,1245.07388,210.50896,-44.55598
4.85,1245.07388,210.50896,-44.55598
4.85,1245.07388,210.50896,-44.55598
4.86,1245.07388,210.11524,-37.96117
4.87,1255.76994,209.72152,-37.96117
4.88,1255.76994,209.36061,-37.96117
4.89,1255.76994,208.96689,-31.36636
4.9,1255.76994,208.60598,-37.96117
4.91,1255.76994,208.21226,-39.60167
4.92,1266.72848,207.85135,-41.24217
4.93,1266.72848,207.42482,-36.28786
4.94,1266.72848,207.0311,-41.24217
4.95,1266.72848,206.63738,-44.55598
4.96,1266.72848,206.24366,-44.55598
4.97,1275.42313,205.84994,-33.00686
4.98,1275.42313,205.45622,-34.64736
4.99,1275.42313,205.0625,-39.60167
5,1275.42313,204.70159,-37.96117
5.01,1275.42313,204.30787,-41.24217
5.02,1284.64274,203.91415,-36.28786
5.03,1284.64274,203.55324,-42.91548
5.04,1284.64274,203.15952,-31.36636
5.05,1284.64274,202.79861,-36.28786
5.06,1284.64274,202.4377,-34.64736
5.07,1293.89516,202.04398,-41.24217
5.08,1293.89516,201.68307,-37.96117
5.09,1293.89516,201.28935,-39.60167
5.1,1293.89516,200.86282,-41.24217
5.11,1293.89516,200.4691,-42.91548
5.12,1303.44287,200.04257,-44.55598
5.13,1303.44287,199.64885,-36.28786
5.14,1303.44287,199.25513,-39.60167
5.14,1303.44287,199.25513,-39.60167
